uri,uri_code,pollutant_name,pollutant_code,definition,status
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/394,394,n-Butane (air),H3C-CH2-CH2-CH3,H3C-CH2-CH2-CH3 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/395,395,butenes (air),Butenes,Butenes - recommended unit: pptv,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/396,396,N2methylpropenal + Butanal (air),Methacroleine + Butanal,Methacroleine + Butanal - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4,4,Total suspended particulates (aerosol),SPM,SPM - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/40,40,Hydrogen fluoride (air),HF,HF - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/401,401,carbontetrachloride (air),Carbon-tetrachloride,Carbon-tetrachloride - recommended unit: pptv,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4013,4013,Elemental Gaseous Mercury (air+aerosol),Hg0,Hg0 - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/406,406,chrysene (precip),Chrysene,Chrysene - recommended unit: ng/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/41,41,Methane (air),CH4,CH4 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/412,412,conductivity (precip),k,k - recommended unit: uS/cm,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/415,415,coronene (air+aerosol),Coronene,Coronene - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/416,416,cyclohexane (air),Cyclo-hexane,Cyclo-hexane - recommended unit: pptv,valid
